,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2024-04-30 06:59:59.999,1714438800000,64579.99000000,64614.00000000,64165.24000000,64249.99000000,612.81482000,1714440599999,39459620.02499960,26808,264.23769000,17015950.69446690,0
2024-04-30 07:29:59.999,1714440600000,64250.00000000,64250.00000000,63560.50000000,63606.01000000,903.93461000,1714442399999,57847155.96426550,36356,359.98007000,23049361.57933960,0
2024-04-30 07:59:59.999,1714442400000,63606.01000000,63696.61000000,62995.70000000,63609.10000000,1927.56835000,1714444199999,122090027.34242570,60654,1018.71555000,64522794.40219840,0
2024-04-30 08:29:59.999,1714444200000,63609.10000000,63896.12000000,63553.99000000,63780.91000000,512.78828000,1714445999999,32702061.74990160,21336,295.28168000,18829896.94976390,0
2024-04-30 08:59:59.999,1714446000000,63780.92000000,63780.92000000,63561.32000000,63741.68000000,301.72986000,1714447799999,19212940.40849510,16209,142.52419000,9075740.53150840,0
2024-04-30 09:29:59.999,1714447800000,63741.68000000,63820.58000000,63623.00000000,63647.99000000,325.22154000,1714449599999,20713245.62266580,16489,168.87849000,10756957.29544440,0
2024-04-30 09:59:59.999,1714449600000,63647.99000000,63708.70000000,63477.04000000,63506.51000000,218.83518000,1714451399999,13919457.09839050,14467,99.18944000,6309876.54967770,0
2024-04-30 10:29:59.999,1714451400000,63506.51000000,63637.33000000,63343.47000000,63403.98000000,380.84000000,1714453199999,24172860.24816470,18449,155.48135000,9869588.95245930,0
2024-04-30 10:59:59.999,1714453200000,63403.98000000,63491.59000000,63254.00000000,63376.01000000,369.96773000,1714454999999,23453209.28632030,19049,176.91352000,11215524.23144370,0
2024-04-30 11:29:59.999,1714455000000,63376.01000000,63376.02000000,63069.68000000,63330.00000000,598.60157000,1714456799999,37840398.50455260,27152,294.65061000,18624723.05478620,0
2024-04-30 11:59:59.999,1714456800000,63330.00000000,63420.14000000,63227.47000000,63376.91000000,299.03603000,1714458599999,18937034.61028640,15377,163.55727000,10357727.62698310,0
2024-04-30 12:29:59.999,1714458600000,63376.92000000,63465.10000000,63355.60000000,63412.00000000,183.57062000,1714460399999,11638816.23754450,14232,93.25618000,5912414.69405640,0
