,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2024-05-01 17:29:59.999,1714563000000,2888.19000000,2906.27000000,2880.00000000,2905.39000000,10734.47280000,1714564799999,31078400.83891300,19544,7727.65240000,22387439.82289000,0
2024-05-01 17:59:59.999,1714564800000,2905.40000000,2934.00000000,2898.32000000,2920.66000000,13958.89980000,1714566599999,40729167.62059600,30810,8111.38350000,23666247.72877400,0
2024-05-01 18:29:59.999,1714566600000,2920.65000000,2931.00000000,2913.61000000,2917.01000000,7301.20450000,1714568399999,21337473.07814700,19588,3932.87640000,11493922.76038700,0
2024-05-01 18:59:59.999,1714568400000,2917.00000000,2921.35000000,2898.80000000,2899.37000000,6970.87020000,1714570199999,20273170.48570400,21617,3464.68230000,10077453.95096600,0
2024-05-01 19:29:59.999,1714570200000,2899.37000000,2905.20000000,2880.00000000,2889.64000000,11012.68680000,1714571999999,31850823.14279400,29513,5573.67760000,16121592.53972700,0
2024-05-01 19:59:59.999,1714572000000,2889.64000000,2904.84000000,2882.03000000,2895.20000000,9973.79360000,1714573799999,28868948.79207100,26769,4571.26540000,13232485.42439000,0
2024-05-01 20:29:59.999,1714573800000,2895.19000000,2912.42000000,2885.60000000,2906.00000000,5281.33290000,1714575599999,15310113.63042900,19055,2728.92120000,7910720.05891400,0
2024-05-01 20:59:59.999,1714575600000,2906.00000000,2907.56000000,2865.91000000,2889.19000000,13852.05350000,1714577399999,39942467.55034800,33067,6347.13800000,18310434.91490600,0
2024-05-01 21:29:59.999,1714577400000,2889.19000000,2893.78000000,2874.80000000,2885.45000000,7692.09760000,1714579199999,22179442.91966500,23987,3349.33360000,9658899.55234800,0
2024-05-01 21:59:59.999,1714579200000,2885.46000000,2909.38000000,2875.63000000,2904.72000000,9281.30460000,1714580999999,26840280.46968700,25615,5080.55750000,14694548.12345000,0
2024-05-01 22:29:59.999,1714581000000,2904.72000000,2913.23000000,2882.18000000,2891.01000000,5927.35570000,1714582799999,17167280.29000900,19351,3225.06710000,9342327.56246500,0
2024-05-01 22:59:59.999,1714582800000,2891.00000000,2898.20000000,2868.72000000,2895.20000000,7038.06600000,1714584599999,20300979.52431200,22141,3391.21070000,9786192.90500200,0
2024-05-01 23:29:59.999,1714584600000,2895.19000000,2933.63000000,2892.60000000,2921.92000000,12034.60610000,1714586399999,35083631.21884900,28405,5438.21760000,15850128.04531200,0
2024-05-01 23:59:59.999,1714586400000,2921.92000000,2978.60000000,2918.14000000,2966.20000000,43205.74880000,1714588199999,127758035.94931000,68841,19687.89030000,58205977.55397500,0
2024-05-02 00:29:59.999,1714588200000,2966.20000000,3015.73000000,2947.14000000,2990.04000000,46280.12030000,1714589999999,138402845.74204000,70648,25605.88000000,76571668.08538300,0
2024-05-02 00:59:59.999,1714590000000,2990.04000000,3001.20000000,2955.60000000,2957.12000000,19892.12640000,1714591799999,59230847.48398100,45377,8633.36890000,25710402.15978100,0
2024-05-02 01:29:59.999,1714591800000,2957.12000000,2957.58000000,2909.97000000,2926.06000000,28783.63570000,1714593599999,84296105.66310100,54796,12313.38220000,36051412.39950300,0
2024-05-02 01:59:59.999,1714593600000,2926.05000000,2942.79000000,2914.42000000,2938.56000000,11048.63900000,1714595399999,32384600.13480500,26330,5136.63960000,15057916.45071600,0
2024-05-02 02:29:59.999,1714595400000,2938.57000000,2948.00000000,2929.14000000,2941.19000000,5814.11260000,1714597199999,17103991.95639000,15580,2784.69640000,8192504.24265400,0
2024-05-02 02:59:59.999,1714597200000,2941.20000000,2976.16000000,2935.81000000,2973.69000000,8668.10620000,1714598999999,25612280.79437500,21631,4944.70040000,14613073.28685700,0
2024-05-02 03:29:59.999,1714599000000,2973.69000000,2976.50000000,2958.61000000,2967.99000000,5871.05710000,1714600799999,17419622.42844400,16351,2107.84110000,6254215.78183400,0
2024-05-02 03:59:59.999,1714600800000,2968.00000000,2980.49000000,2966.66000000,2972.13000000,6562.79900000,1714602599999,19515821.84883400,16582,2898.18070000,8618385.80631400,0
2024-05-02 04:29:59.999,1714602600000,2972.14000000,2977.54000000,2966.07000000,2969.56000000,4224.44180000,1714604399999,12556855.23434900,13174,1946.22120000,5784232.99373500,0
2024-05-02 04:59:59.999,1714604400000,2969.56000000,2973.29000000,2965.35000000,2966.81000000,2921.97720000,1714606199999,8677075.73658000,10480,1260.04590000,3741918.85955800,0
